Name,Year,Event,Image,Image caption,Display Year (if different)
Saiki Sachiko,1963,Takes her first trip abroad to photograph,,,
Saiki Sachiko,1964,"Begins photographing extensively in Southeast Asia, especially Hong Kong and Thailand",,,
Saiki Sachiko,1968,"Begins coverage of countries along the Silk Road, such as Afghanistan, Iran, China, and the former Soviet Union",,,
Saiki Sachiko,1976,Publishes「シルクロード―人と出逢う旅」( <i>Silk Road: A Journey of Human Encounters</i> ) (Shinshindō shuppan),,,
Saiki Sachiko,1978,Publishes「シルクロード百科」( <i>An Encyclopedia of the Silk Road</i> ) (Shinshindō shuppan),,,
Saiki Sachiko,1981,Appointed head juror for the Photography Department's Documentary Division of the Kokuten; Publishes「遊牧民旅情―砂漠の華」( <i>The Nomad's Journey: Desert Flowers</i> ) (Bunka shuppankyō),,,
Sasamoto Tsuneko,1940,Joins the Photographic Society of Japan at the invitation of Hayashi Kenichi,,,
Sasamoto Tsuneko,1945,Begins working for the local newspaper Chiba Shimbun,,,
Sasamoto Tsuneko,1946,Begins working for the the Fujin Minshu Shimbun newspaper in Tokyo,,,
Sasamoto Tsuneko,1948,Embarks on a freelance career as a photojournalist,,,
Sasamoto Tsuneko,1988,Publishes a book of portraiture「ふだん着の肖像 : 昭和 20-30年代を彩った 100人」( <i>Portraits in Everyday Wears: 100 People Who Enlivened the Shōwa Decades</i> ) (Shinchōsha),,,
Sasamoto Tsuneko,1989,Publishes「ライカでショット！お嬢さんカメラマンの昭和スナップ」( <i>Nice Shot! A Young Female Cameraman's Snapshots of the Shōwa Era</i> ) (Kamakura shobō),,,
Sasamoto Tsuneko,1997,Awarded the Tokyo Women's Foundation Award,,,
Sasamoto Tsuneko,2001,Awarded the 16th Diamond Lady Award,,,
Sasamoto Tsuneko,2011,Awarded the 45th Yoshikawa Eiji Culture Award and an award for distinguished service from the Photographic Society of Japan,,,
Sasamoto Tsuneko,2016,Awarded the Lucie Award for Lifetime Achievement; the Japan Professional Photographers' Society establishes the Sasamoto Tsuneko Photography Award,,,
Sasamoto Tsuneko,2018,Honored with the title Tōkyō-to meiyotomin,,,
Matsuyama Tazuko,1977,Acquires a Pikkari Konica camera and begins documenting her hometown in Gifu Prefecture as plans for the Tokuyama Dam get underway,,,
Matsuyama Tazuko,1983,Publishes「故郷―私の徳山村写真日記」( <i>Hometown: Photo Diary of My Tokuyama</i> ) (Jakometei shuppan),,,
Matsuyama Tazuko,1987,Moves to Gifu City when her village is condemned; Publishes「ありがとう徳山村―増山たづ子写真集」( <i>Thank You Tokuyama Village: Matsuyama Tazuko Photobook</i> ) (Kageshobō),,,
Matsuyama Tazuko,1984,Awarded the AVON Award for Women,,,
Matsuyama Tazuko,1988,Publishes「増山たづ子―徳山村写真全記録」( <i>Matsuyama Tazuko: A Complete Photo Record of Tokuyama Village</i> ) (Kageshobō),,,
Kiyooka Sumiko,1965,Travels to Tokyo from her hometown of Kyoto and begins work as a freelance photographer,,,
Kiyooka Sumiko,1967,Publishes the small photobook「尼寺」( <i>Convent</i> ) (Mainichi shimbunsha),,,
Kiyooka Sumiko,1968,Publishes the nonfiction book「女と女：レずビアンの世界」( <i>Women with Women: The World of Lesbians</i> ) (Naniwa shobō),,,
Kiyooka Sumiko,1969,Publishes the nonfiction book on lesbian life「告白」( <i>Confession</i> ) (Surugadai shobō),,,
Kiyooka Sumiko,1970,Publishes the photobook「ナツコとシルビア」( <i>Natsuko and Silvia</i> ) (Futabasha); Publishes the work of fiction「昭栄尼抄」( <i>Extracts of a Shōei Nun</i> ) (Bunkasha),,,
Kiyooka Sumiko,1971,Publishes the nonfiction book「レズビアンラブの入門」( <i>Introduction to Lesbian Love</i> ) (Ikeda I.P.B.),,,
Kiyooka Sumiko,1972,Awarded an award at the World Photography Exhibition; Publishes the nonfiction book「How to Les / 女の聖書」( <i>How to Les: Women's Bible</i> ) (Tatsumi shuppan),,,
Kiyooka Sumiko,1973,"Publishes the nonfiction book「セルフ・ラブ」( <i>Self Love</i> ) (Tatsumi shuppan), the fictional photobook「禁断の魔女」( <i>Forbidden Witches</i> ) (Tatsumi shuppan), and the work of fiction「日蓮女優」( <i>Nichiren Actress</i> ) (Bunkasha)",,,
Kiyooka Sumiko,1977,Publishes「聖少女」( <i>Holy Girl</i> ) (Fuji Art),,,
Kiyooka Sumiko,1983,"Publishes the controversial book of ""Lolita"" photography「私は『まゆ』13歳」( <i>I'm Mayu, 13 Years Old</i> ) (Fuji Art)",,,
Okanoue Toshiko,1952,"Earns a degree from the Design Department of the Bunka Gakuin College in Tokyo, meets leading Japanese Surrealist Takiguchi Shūzō, and begins to make photocollages heavily influenced by surrealist aesthetics and the Japanese collage technique of <i>chigiri-e</i>",,,
Okanoue Toshiko,1953,Holds solo exhibition「岡上淑子コラージュ展」( <i>Okanoue Toshiko Collage Exhibition</i> ) at Takemiya Gallery (Tokyo); Participates in group exhibition 「抽象と幻想ー非写実絵画をどう理解するか」( <i>Abstraction and Surrealism: How to Understand Them?</i> ) at the National Museum of Modern Art (Tokyo),,,
Okanoue Toshiko,1956,Holds solo exhibition「岡上淑子コラージュ展」( <i>Okanoue Toshiko Collage Exhibition</i> ) at Takemiya Gallery (Tokyo),,,
Okanoue Toshiko,1957,Marries the painter Kazutomo Fujino and stops making art professionally,,,
Okanoue Toshiko,1959,Her work is included in the American Photography Handbook,,,
Okanoue Toshiko,1996,Her work is included in the exhibition「1953年ライトアップー新しい戦後美術像が見えてきた」( <i>Shedding Light on Art in Japan 1953</i> ) at the Meguro Museum of Art (Tokyo),,,
Okanoue Toshiko,2000,"Holds solo exhibition「岡上淑子フォト・コラージュ-夢のしずく/ゲストキュレーター金子隆一」 ( <i>Okanoue Toshiko Photo-Collage: Droplets of Dreams</i> ) at The Dai-ichi Mutual Life Insurance, Co. South Gallery (Tokyo)",,,
Tokiwa Toyoko,1951,"Earns a degree from Tokyo Kasei Gakuin; Joins the amateur women's photography club, the Shirayuri (White Lily) Camera Club",,,
Tokiwa Toyoko,1956,"Holds first solo exhibition「働く女性」( <i>Working Women</i> ) at the Konishiroku Photo Gallery (Tokyo), featuring realist documentary photographs of professional women wrestlers, models, nurses, and sex workers",,,
Tokiwa Toyoko,1957,"Participates in the influential <i>Eyes of Ten</i> exhibition in Tokyo; Publishes a documentary photobook focused on the lives of sex workers in the red-light district of Yokohama「危険の徒花」( <i>Dangerous, Fruitless Flowers</i> ) (Mikasa shobō)",,,
Tokiwa Toyoko,1962,"Begins working as a producer for a television series, <i>Working Women</i> , that runs until 1965",,,
Tokiwa Toyoko,1967,Joins the art screening committee for Kanagawa Prefecture,,,
Tokiwa Toyoko,1987,Appointed instructor at the Fujisawa Culture Center,,,
Tokiwa Toyoko,1996,Publishes「横浜再現：二人で写した敗戦ストーリー」( <i>Reproducing Yokohama: Two Who Photographed the Story of Defeat in Yokohama</i> ) (Heibonsha),,,
Imai Hisae,1952,Graduates from Bunka Gakuin,,,
Imai Hisae,1956,Holds first solo exhibtion 白昼夢 (Daydream) at Matsushima Gallery (Tokyo),,,
Imai Hisae,1957,Holds solo exhibition 心象的風景 (Imaginary Landscape) at Fuji Photo Salon (Tokyo),,,
Imai Hisae,1959,Wins the Japan Photo Critics Association Newcomers' Award; Holds solo exhibitions at Fuji Photo Salon and Moonlight Gallery in Tokyo,,,
Imai Hisae,1960,Holds Japan Photo Critics Association Newcomers' Award Exhibition オフェリアとその後 (Ophelia and After); Wins Camera Art's Photographic Art Award,,,
Imai Hisae,1961,Holds solo exhibition モデルと北風 (Model and Northern Winds) at Moonlight Gallery (Tokyo),,,
Imai Hisae,1962,Involved in a life-threatening car accident that damages her eye sight,,,
Imai Hisae,1963,Holds solo exhibition Imai Hisae Photography Exhibition at Fuji Photo Salon (Tokyo),,,
Imai Hisae,1969,Wins the Great Printmakers of Today Award,,,
Imai Hisae,1971,"Holds first solo exhibition since her accident, 馬に旅して ( <i>Travel by Horse</i> ) at the Shinjuku Nikon Salon (Tokyo); Wins the Society of Publication Designers' Silver Award",,,
Imai Hisae,1975,Holds solo exhibition 馬の世界を詩う (The Enchanting World of Horses) at Takashimaya (Osaka),,,
Imai Hisae,1977,"The exhibition 馬の世界を詩う (The Enchanting World of Horses) travels to Brussels, Belgium and Paris, France",,,
Imai Hisae,1978,Wins the Photography Society of Japan's Annual Award,,,
Imai Hisae,2009,Wins the JRA Horse Culture Achievement Award,,,
Yoshida Ruiko,1961,Moves to New York to study photojournalism at Columbia University as a Fulbright Scholar; Begins photographing,,,
Yoshida Ruiko,1964,Graduates from Columbia University,,,
Yoshida Ruiko,1968,Receives an award for her photographs of children in Harlem,,,
Yoshida Ruiko,1971,Returns to Japan,,,
Yoshida Ruiko,1972,Holds first solo exhibition <i>Harlem: Black is Beautiful</i> at a department store in Shibuya,,,
Yoshida Ruiko,1974,"Publishes the photobook ハーレム：黒い天使たち ( <i>Harlem: Black Angels</i> ) (Kodansha) focused on Black children living in Harlem, with text by Kijima Hajime",,,
Yoshida Ruiko,1977,Publishes the first version of 自分をさがして旅に生きてます ( <i>Looking for Myself and Living on a Journey</i> ) (Jakometei shuppan),,,
Yoshida Ruiko,1978,Publishes ぼくの肌は黒い ( <i>My Skin is Black</i> ) (Poplar),,,
Yoshida Ruiko,1979,"Publishes the best-selling photobook ハーレム熱い日々 / Black is Beautiful (Kodansha), which accumulates ten years of photographs from her time in New York alongside her written observations",,,
Yoshida Ruiko,1982,Directs the Tōho film ロングラン ( <i>Long Run</i> ),,,
Yoshida Ruiko,1983,Publishes 世界おんな風土記 ( <i>A Record of Women of the World</i> ) (Ōbunsha),,,
Yoshida Ruiko,1984,Publishes 女たちのアジア ( <i>Women's Asia</i> ) (Ōbunsha),,,
Yoshida Ruiko,1985,Publishes さんディーノの子どもたち：私の見たニカラグア ( <i>The Children of Sandino: The Nicaragua I Saw</i> ) (Ōtsuki shoten),,,
Yoshida Ruiko,1987,Publishes 吉田ルイ子のアメリカ ( <i>Yoshida Ruiko's America</i> ) (Kodansha); Publishes フォト・ジャーナリストとは？撮れなかった一枚の写真 ( <i>A Photojournalist? The One Photograph I Could Not Take</i> ) (Iwanami shoten),,,
Yoshida Ruiko,1989,Publishes 南ア・アパルトヘイト共和国 ( <i>South Africa Apartheid Republic</i> ) (Ōtsuki shoten),,,
Yoshida Ruiko,1990,Publishes アパルトヘイトの子どもたち：僕たちは怒っている ( <i>The Children of Apartheid: We Are Angry</i> ) (Poplar),,,
Yoshida Ruiko,1995,Publishes 南アフリカ新しい風 MASAKANE ( <i>New Winds in South Africa</i> ) (Ōtsuki shoten),,,
Yoshida Ruiko,1996,Publishes 少女マギー：南アフリカ・アパルトヘイトをのりこえて ( <i>The Young Girl Maggie: Overcoming Apartheid in South Africa</i> ) (Poplar),,,
Yoshida Ruiko,1999,Publishes 子どもは見ている / <i>The Family of Child</i> (Kodansha) with paintings by Iwasaki Chihiro,,,
Yoshida Ruiko,2001,Wins a special award from the Japan Journalism Association (JCJ); Publishes 華麗な女たち (Chinese Women) (Chuo koronsha),,,
Yoshida Ruiko,2003,Wins the 19th Higashikawa International Photo Festival Award,,,
Ushioda Tokuko,1963,"Graduates from Kuwasawa Design School, where she studied under Ōtsuji Kiyoji and Ishimoto Yasuhiro",,,
Ushioda Tokuko,1966,Begins teaching at Kuwasawa Design School and later Tokyo Zōkei University,,,
Ushioda Tokuko,1975,"Begins working as a freelance photographer, primarily for magazines",,,
Ushioda Tokuko,1976,Holds her first solo exhibition 微笑みの⼿錠 ( <i>Handcuffed Smile</i> ) at Shinjuku Nikon Gallery (Tokyo),,,
Ushioda Tokuko,1978,"Retires from teaching; Marries fellow photographer Shinzō Shimao and gives birth to a daugher, after which she makes photographs within her new domestic space",,,
Ushioda Tokuko,1986,Self-publishes the photobook <i>Chinese People</i>,,,
Ushioda Tokuko,1989,Holds a solo exhibition 生活 ( <i>Life</i> ) at Film Round Gallery (Tokyo),,,
Ushioda Tokuko,1992,Holds first exhibition of her series 冷蔵庫 ( <i>Icebox</i> ) at the Tokyo Design Center (Tokyo),,,
Ushioda Tokuko,1994,Holds first exhibition of her series HATS at Gallery MOLE in Tokyo,,,
Ushioda Tokuko,1996,"Publishes the photobook 冷蔵庫 ( <i>Icebox</i> ) (BeeBooks) with an essay written by Ushioda titled, ""Is Mom a Refrigerator?""",,,
Ushioda Tokuko,2002,Holds solo exhibition 聖歌 ( <i>Sacred Dance</i> ) at Contemprary Photo Gallery (Tokyo),,,
Ushioda Tokuko,2003,"Holds three solo exhibitions of the series 本の景色 / BIBLIOTHECA at Waseda University Library, Contemporary Photo Gallery, and the 5th Library Fair at Tokyo International Forum",,,
Ushioda Tokuko,2004,Publishes the photobook <i>HATS</i> (Parol),,,
Ushioda Tokuko,2016,Publishes the photobook みすず書房旧社屋 ( <i>Misuzu</i> ) (Genki shobō),,,
Ushioda Tokuko,2017,Publishes the photobooks 本の景色 / BIBLIOTHECA (Genki shobō) and 先生のアトリエ (My Teacher's Atelier) (Genki shobō),,,
Ushioda Tokuko,2018,"Wins the Domon Ken Award, the Photographic Society of Japan's Lifetime Achievement Award, and the 34th Higashikawa Domestic Photography Award for 本の景色 / BIBLIOTHECA",,,
Ushioda Tokuko,2019,Wins the Kuwasawa Special Award,,,
Ushioda Tokuko,2022,"Publishes the photobook マイハスバンド ( <i>My Husband</i> ) (torch press), photographs taken from 1978 to 1983 that feature Ushioda and Shinzō's domestic and social lives within the photo world",,,
Watanabe Hitomi,1968,Graduates from Meiji University and the Tokyo College of Photography; Holds solo exhibition 香具師の世界 ( <i>World of Street Hawkers</i> ) as her graduating thesis; Begins contributing photographs to the pictorials <i>Asahi Graph</i> and <i>Shashin Eizō</i> ; Self-publishes the photobook 新宿オンテンポラリー ( <i>Shinjuku Contemporary</i> ) depicting the epicenter of the Japanese counterculture and antiwar movement in Shinjuku,,,
Watanabe Hitomi,1969,"The only female photographer behind the barricades at Tokyo University, Watanabe documents the Zenkyōtō (All-Campus Joint Struggle Committee) Protests and publishes them in われわれにとって東大闘争とは何か ( <i>Tōdai Zenkyōtō: What the Tokyo University Conflict Is for Us</i> ) (San'ichi Shobō)",,,
Watanabe Hitomi,1972,Begins traveling to other countries in Asia and devotes herself to spiritual photographic projects,,,
Watanabe Hitomi,1983,Publishes the photobook 天竺 ( <i>Tenjiku</i> ) (Yasosha) with images from India and Nepal,,,
Watanabe Hitomi,1986,Publishes the photobook モヒタの夢の旅 ( <i>Mohita's Dream Journey</i> ) (Kaiseisha),,,
Watanabe Hitomi,1994,Publishes the photobook 猿年紀 ( <i>The Era of Monkey</i> ) (Shinchōsha),,,
Watanabe Hitomi,1997,Publishes the photobook 西方神話 ( <i>Myths of the West</i> ) (Chuokoronsha),,,
Watanabe Hitomi,2001,"Publishes the photobook ひらいて、Lotus ( <i>Open, Lotus</i> ) (Shuppanshinsha)",,,
Watanabe Hitomi,2003,Publishes the photobook てつがくのさる ( <i>The Monkey Philosopher</i> ) (Shuppanshinsha),,,
Watanabe Hitomi,2007,"Publishes the first of two books about the Zenkyōtō protests, 東大全共闘 1968-1969 (Tōdai Zenkyōtō 1968-1969) (Shinchōsha)",,,
Watanabe Hitomi,2014,Publishes the photobook 1968新宿 (1968 Shinjuku) (Machikarasha),,,
Watanabe Hitomi,2015,"Publishes the second of two books about the <i>Zenkyōtō protests, Tokyo University 1968-1969: Behind the Blockade</i> (Zen Foto Gallery)",,,
Watanabe Hitomi,2017,Publishes the photobook TEKIYA 香具師 ( <i>Tekiya</i> ) (Jiyusha),,,
Sugiura Kunie,1949,"Moves to Tokyo with her widowed mother, who manages the PX Depot at the United States military base in Tachikawa",,,
Sugiura Kunie,1960,Enters the physics department at Ochanomizu University,,,
Sugiura Kunie,1963,Travels to the United States to begin studying photography at the School of the Art Institute of Chicago under the conceptual photographer Kenneth Josephson,,,
Sugiura Kunie,1967,"Graduates from the School of the Art Institute of Chicago and moves to New York City, where she works as a photographer's assistant, designs record jackets for Columbia Records, and meets other Japanese artists working there",,,
Sugiura Kunie,1968,"Marries Jerry Dorman, an assistant professor at the Polytechnic Institute of Brooklyn; Work from her Cko series of color montages is published in the magazines <i>U.S. Camera</i> and <i>Modern Photography</i>",,,
Sugiura Kunie,1969,Holds first solo exhibition of work from the Cko series at Portogallo Gallery in New York; Receives her United States Permanent Resident Card,,,
Sugiura Kunie,1970,The critic Dick Bellamy signs on as Sugiura's agent,,,
Sugiura Kunie,1972,"Holds multiple exhibitions of her Photocanvas series, including in the Whitney Museum's Annual Exhibition of Painting",,,
Sugiura Kunie,1975,"Separates from her spouse and moves to a new studio in New York's SoHo neighborhood, the center of new art trends at the time",,,
Sugiura Kunie,1978,Holds her first solo exhibition in Japan of her Photo-Painting series at the Ginza Kaiga Kan in Tokyo,,,
Sugiura Kunie,1979,"Holds her first of many exhibitions at the Zeit Foto Salon, a gallery specializing in photography in Tokyo",,,
Sugiura Kunie,1980,Beings to create photograms,,,
Sugiura Kunie,1985,"Participates in the Tsukuba Museum of Photography's exhibition (Paris, New York, Tokyo)",,,
Sugiura Kunie,1986,"Begins writing the ""New York Report"" for the Japanese art magazine <i>Bijutsu Techo</i> , which she continues until 2008; Holds the first of many exhibitions at the Leslie Tonkonow Artworks + Project Gallery",,,
Sugiura Kunie,1990,"Sugiura's work is included alongside that of Ishiuchi Miyako in the group exhibition, 女性のまなざしー日本とドイツの女性写真家達 ( <i>Women Photographers' Perspectives in Germany and Japan</i> ), held at the Kawasaki City Museum",,,
Sugiura Kunie,1993,The experience of being x-rayed inspires new work with x-rays that she exhibits for the first time at Wesleyan University and in the first of many shows at Kamakura Gallery in Tokyo,,,
Sugiura Kunie,1994,"Participates in numerous group exhibitions, including Experimental Vision at the Denver Art Museum, which traced the history of the photogram; Marries the sculptor John Duff (whom she later divorces in 1997)",,,
Sugiura Kunie,1995,"Participates in numerous group exhibitions, including 現代写真の動向 ANOTHER REALITY ( <i>Aspects of Contemporary Photography: Another Reality</i> ) at the Kawasaki City Museum",,,
Sugiura Kunie,1996,"Participates in numerous group exhibitions, including <i>Japanese Photography: Contemporary Landscape 1980-1995</i> at the Tokyo Metropolitan Museum of Photography (now the Tokyo Photographic Art Museum)",,,
Sugiura Kunie,1997,"Sugiura's work is included in New Photography 13, the acclaimed annual exhibition at the Museum of Modern Art (New York)",,,
Sugiura Kunie,1998,Holds the first of numerous exhibitions at Judy Ann Goldman Fine Art in Boston,,,
Sugiura Kunie,1999,Participates in numerous international group exhibitions; Begins to include human beings as her subjects for photograms,,,
Sugiura Kunie,2002,Sugiura's photogram of Shinohara Ushio boxing is featured on the cover of Art in America,,,
Sugiura Kunie,2003,"The Joy of Giving Something Foundation commissions a work from Sugiura to commemorate the fiftieth anniversary of the discovery of the DNA structure, and she begins work focused on famous scientists",,,
Sugiura Kunie,2004,The group exhibition <i>Out of the Ordinary/Extraordinary: Japanese Contemporary Photography</i> travels and introduces Sugiura's work around the world,,,
Sugiura Kunie,2007,"Wins the 23rd Higashikawa Domestic Photographer Award; Participates in several group exhibitions, including <i>Making a Home: Japanese Contemporary Artists in New York</i> at the Japan Society Gallery (New York)",,,
Sugiura Kunie,2008,"A retrospective exhibition, <i>Time Emit</i> , is held at the Visual Arts Center of New Jersey",,,
Sugiura Kunie,2014,Holds the first of numerous solo exhibitions at Taka Ishii Gallery in Tokyo,,,
Sugiura Kunie,2015,"Sugiura's work is included in the traveling exhibition <i>For a New World to Come: Experiments in Art and Photography, Japan, 1968-1979</i>",,,
Sugiura Kunie,2018,"A retrospective exhibition, 杉浦邦恵：うつくしい実験 / ニューヨークとの50年 ( <i>Sugiura Kunie: Aspiring Experiments / New York in 50 Years</i> ), is held at the Tokyo Photographic Art Museum",,,
Ōishi Yoshino,1966,Visits Vietnam and Cambodia for the first time,,,
Ōishi Yoshino,1978,Publishes 愛しのニューギニア ( <i>Dear New Guinea</i> ) (Gakushū kenkyūsha),,,
Ōishi Yoshino,1979,Publishes 花黙し: 大石芳野写真集 ( <i>Flowers Silent</i> ) (Bronze),,,
Ōishi Yoshino,1980,"Publishes 女の国になったカンボジア ( <i>Cambodia, Land of Women</i> ) (Ushio shuppan)",,,
Ōishi Yoshino,1981,Publishes パプア人: いま石器時代に生きる ( <i>Papuan People: Living in the Stone Age Now</i> ) (Heibonsha); Publishes 無告の民: カンボジアの証言 ( <i>A Helpless People: The Testimony of Cambodia</i> ) (Iwanami shoten),,,
Ōishi Yoshino,1982,Wins the Photographic Society of Japan's Annual Award for her photobook 無告の民 ( <i>Helpless Citizens</i> ),,,
Ōishi Yoshino,1983,"Publishes 少年パパニー ( <i>Boy ""Papany""</i> ) (Yayoi shobō); Publishes ワニの民: メラネシア芸術の人びと ( <i>Crocodile People: The People of Melanesian Art</i> ) (Tōjusha)",,,
Ōishi Yoshino,1984,"Publishes ベトナムは、いま ( <i>Vietnam, Now</i> ) (Kodansha); Publishes 隠岐の国 ( <i>Land of Oki</i> ) (Kumon shuppan); Publishes 証言する民: 十年後のベトナム戦争 ( <i>The People Testify: The Vietnam War, Ten Years Later</i> ) (Kodansha)",,,
Ōishi Yoshino,1985,"Publishes ベトナムは、いま: 十年後のベトナム戦争 ( <i>Vietnam, Now: 10 Years After the Vietnam War</i> ) (Kodansha)",,,
Ōishi Yoshino,1986,Publishes 沖縄に活きる ( <i>Living in Okinawa</i> ) (Yōbisha),,,
Ōishi Yoshino,1988,"Publishes 沖縄の原像: 内と外との相克 ( <i>Statues of Okinawa: Battle between Inside and Out</i> ) (Niraisha); Publishes 闘った人びと: ベトナム戦争を過ぎて (P <i>eople Who Battled: Through the Vietnam War</i> ) (Kodansha); Publishes 『夜と霧』をこえて: ポーランド・強制収容所の生還者たち ( <i>Beyond ""Night and Fog""</i> ) (NHK); Publishes 夜と霧は今 ( <i>Night and Fog, Now</i> ) (Yōbisha)",,,
Ōishi Yoshino,1991,Publishes 悲しみのソビエト: 民族をあるく ( <i>Soviets of Grief</i> ) (Kodansha),,,
Ōishi Yoshino,1992,"Publishes あの日、ベトナムに枯葉剤がふった: 戦争の傷あとを見つめつづけた真実の記録 ( <i>That Day, Agent Orange Fell on Vietnam</i> ) (Kumon shuppan)",,,
Ōishi Yoshino,1993,Publishes カメラを肩に見た世界 ( <i>The World Seen through the Camera on Your Shoulder</i> ) (Rōdō junpōsha); Publishes カンボジア苦界転生: 大石芳野フォト・ドキュメント ( <i>Reincarnation in Cambodia</i> ) (Kodansha),,,
Ōishi Yoshino,1994,Wins the Newcomer Award for Art from the Bunckchō,,,
Ōishi Yoshino,1995,"Publishes Hiroshima半世紀の肖像: やすらぎを求める日々 ( <i>Hiroshima, a Half-Century Portrait</i> ) (Kadokawa shoten)",,,
Ōishi Yoshino,1997,"Publishes 沖縄若夏の記憶 ( <i>Memories of Wakanatsu, Okinawa</i> ) (Iwanami shoten); Publishes 活気あふれて長い戦争のあと: ベトナム (アジアの子どもたち) ( <i>After a Vigorous Long War: Vietnam</i> ) (Sōdo shuppan); Publishes 小さな草に ( <i>On a Small Grass</i> ) (Asahi shimbunsha)",,,
Ōishi Yoshino,1998,Publishes 生命の木 : アジアの人びとと自然 ( <i>Tree of Life: People and Nature of Asia</i> ) (Sōdo shuppan),,,
Ōishi Yoshino,2000,Publishes ベトナム凛と: 大石芳野写真集 ( <i>In the Frigidness of Vietnam</i> ) (Kodansha),,,
Ōishi Yoshino,2001,Wins the Domon Ken Award for the photobook ベトナム凛と ( <i>In the Frigidness of Vietnam</i> ),,,
Ōishi Yoshino,2002,Publishes コソボ破壊の果てに: 大石芳野写真集 ( <i>At the End of the Destruction of Kosovo</i> ) (Kodansha),,,
Ōishi Yoshino,2003,Publishes アフガニスタン戦禍を生きぬく: 大石芳野写真集 ( <i>Surviving the Horrors of Afghanistan</i> ) (Fujiwara shoten),,,
Ōishi Yoshino,2004,Becomes a committee member of the Committee of Seven to Appeal for World Peace; Publishes コソボ絶望の淵から明日へ ( <i>Kosovo from the Depths of Despair to Tomorrow</i> ) (Iwanami shoten),,,
Ōishi Yoshino,2005,"Publishes 声・映像・ジャーナリズム: メディアの中の戦争と文学 ( <i>Voice, Film, Journalism: War and Literature in the Media</i> ) (Ferris University); Publishes 子ども戦世のなかで: 大石芳野写真集 ( <i>Children in a World of War</i> ) (Fujiwara shoten)",,,
Ōishi Yoshino,2007,Recieves the Purple Ribbon Medal of Honor; Publishes 魂との出会い: 写真家と社会学者の対話 ( <i>Encounters with the Soul: A Dialogue between Photographers and Sociologists</i> ) (Fujiwara shoten),,,
