Name,Selected Bibliography
Torii Kyoko,"「女流写真家　告知板」(The Female Photographer Notification Board) Asahi Graph (August, 1952): 24-25"
Mizoguchi Utako,"野島康三とレディス・カメラ・クラブ Yasuzo Nojima and the Lady's Camera Club in 1930s (渋谷区立松濤美術館, 1993)"
Tsuchiura Nobuko,"野島康三とレディス・カメラ・クラブ Yasuzo Nojima and the Lady's Camera Club in 1930s (渋谷区立松濤美術館, 1993)"
Matsunaga (Satō) Tazue,"野島康三とレディス・カメラ・クラブ Yasuzo Nojima and the Lady's Camera Club in 1930s (渋谷区立松濤美術館, 1993)"
,
,
,
,
,
,
,
Kawauchi Rinko,"Kawauchi Rinko, ""Rinko Kawauchi contemplates the small mysteries of life,"" SFMOMA, https://www.sfmoma.org/watch/rinko-kawauchi-contemplates-small-mysteries-life/."
Kawauchi Rinko,"""Kawauchi Rinko Jimusho Shashinka Kawauchi Rinko,"" Yomiuri Jinbutsu Databse, Jul. 5, 2019."
Kawauchi Rinko,"""Shashinka Kawauchi Rinko,"" Asahi Shimbun Jinbutsu Database, Jun. 22, 2018."
Kawauchi Rinko,"""Shashinka Kawauchi Rinko,"" Asahi Shimbun Jinbutsu Database, Jun. 22, 2018."
Kawauchi Rinko,
Nagashima Yurie,"An Incomplete History: Women Photographers from Japan, 1984-1997 (exh. cat.) (NY Visual Studies Workshop, 1998."
Nagashima Yurie,"Nagashima Yurie. “Jibun no kachi o shinjiru  shashinka Nagashima Yurie.” Nihon Keizai    Shimbun, January 16, 2020."
Nagashima Yurie,"Rossella Menegazzo, ""Japanese Contemporary Photography: Re-discovering Female Identity."" Women's Studies 43, no. 8 (2014): 1022-1038, https://doi.org/10.1080/00497878.2014.955703."
Nagashima Yurie,"“Bokura” no “onna no ko shashin” kara watashi no gaariifoto he (From “their"" “Girls Photography” to “our"" ""girlie photography”) (Tokyo: Daifuku shorin, 2020.)"
Hiromix,"Gabriella Lukács, ""Disidenfitications: Women, Photography, and Everyday Patriarchy,""    in Invisibility by Design: Women and Labor in Japan's Digital Economy. Durham; London: Duke University Press, 2020."
Hiromix,
Sawada Tomoko,"Rossella Menegazzo, ""Japanese Contemporary Photography: Re-discovering Female Identity."" Women's Studies 43, no. 8 (2014): 1022-1038, https://doi.org/10.1080/00497878.2014.955703."
Sawada Tomoko,"Sawada Tomoko, ""Tomoko Sawada's self-portraits create familiar characters,"" SFMOMA,     https://www.sfmoma.org/watch/tomoko-sawadas-self-portraits-create-familiar-characters/."
Sawada Tomoko,"""Shashinka/ātisuto Seianzōkei daigaku kyakuin kyōju Sawada Tomoko.""    Asahi Shinbun Jinbutsu Database, Oct. 9, 2018."
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
