Name,Year,Event,Image,Image caption,Display Year (if different)
Tokiwa Toyoko,1957,"Participates in the influential Eyes of Ten exhibition in Tokyo; Publishes a documentary photobook focused on the lives of sex workers in the red-light district of Yokohama, 危険の徒花 (Dangerous, Fruitless Flowers) (Mikasa shobō)",,,
Tokiwa Toyoko,1962,"Begins working as a producer for a television series, Working Women, that runs until 1965",,,
Tokiwa Toyoko,1967,Joins the art screening committee for Kanagawa Prefecture,,,
Tokiwa Toyoko,1987,Appointed instructor at the Fujisawa Culture Center,,,
Tokiwa Toyoko,1996,Publishes 横浜再現：二人で写した敗戦ストーリー (Reproducing Yokohama: Two Who Photographed the Story of Defeat in Yokohama) (Heibonsha),,,
Imai Hisae,1952,Graduates from Bunka Gakuin,,,
Imai Hisae,1956,Holds first exhibtion 白昼夢 (Daydream) at Matsushima Gallery in Tokyo,,,
Imai Hisae,1957,Holds solo exhibition 心象的風景 (Imaginary Landscape) at Fuji Photo Salon in Tokyo,,,
Imai Hisae,1959,Wins the Japan Photo Critics Association Newcomers' Award; Holds solo exhibitions at Fuji Photo Salon and Moonlight Gallery in Tokyo,,,
Imai Hisae,1960,Holds Japan Photo Critics Association Newcomers' Award Exhibition オフェリアとその後 (Ophelia and After); Wins Camera Art's Photographic Art Award,,,
Imai Hisae,1961,Holds solo exhibition モデルと北風 (Model and Northern Winds) at Moonlight Gallery in Tokyo,,,
Imai Hisae,1962,Involved in a life-threatening car accident that damages her eye sight,,,
Imai Hisae,1963,The Imai Hisae Photography Exhibition is held at Fuji Photo Salon,,,
Imai Hisae,1969,Wins the Great Printmakers of Today Award,,,
Imai Hisae,1971,"Holds first solo exhibition since her accident, 馬に旅して (Travel by Horse) at the Shinjuku Nikon Salon; Wins the Society of Publication Designers' Silver Award",,,
Imai Hisae,1975,Holds solo exhibition 馬の世界を詩う (The Enchanting World of Horses) at Takashimaya in Osaka,,,
Imai Hisae,1977,"The exhibition 馬の世界を詩う (The Enchanting World of Horses) travels to Brussels, Belguim and Paris, France",,,
Imai Hisae,1978,Wins the Photography Society of Japan's Annual Award,,,
Imai Hisae,2009,Wins the JRA Horse Culture Achievement Award,,,
Yoshida Ruiko,1961,Moves to New York to study photojournalism at Columbia University as a Fulbright Scholar; Begins photographing,,,
Yoshida Ruiko,1964,Graduates from Columbia University,,,
Yoshida Ruiko,1968,Receives an award for her photographs of children in Harlem,,,
Yoshida Ruiko,1971,Returns to Japan,,,
Yoshida Ruiko,1972,Holds first solo exhibition Harlem: Black is Beautiful at a department store in Shibuya,,,
Yoshida Ruiko,1974,"Publishes the photobook ハーレム：黒い天使たち (Harlem: Black Angels) (Kodansha) focused on Black children living in Harlem, with text by Kijima Hajime",,,
Yoshida Ruiko,1977,Publishes the first version of 自分をさがして旅に生きてます (Looking for Myself and Living on a Journey) (Jakometei shuppan),,,
Yoshida Ruiko,1978,Publishes ぼくの肌は黒い (My Skin is Black) (Poplar),,,
Yoshida Ruiko,1979,"Publishes the best-selling photobook ハーレム熱い日々 / Black is Beautiful (Kodansha), which accumulates ten years of photographs from her time in New York alongside her written observations",,,
Yoshida Ruiko,1982,Directs the Tōho film ロングラン (Long Run),,,
Yoshida Ruiko,1983,Publishes 世界おんな風土記 (A Record of Women of the World) (Ōbunsha),,,
Yoshida Ruiko,1984,Publishes 女たちのアジア (Women's Asia) (Ōbunsha),,,
Yoshida Ruiko,1985,Publishes さんディーノの子どもたち：私の見たニカラグア (The Children of Sandino: The Nicaragua I Saw) (Ōtsuki shoten),,,
Yoshida Ruiko,1987,Publishes 吉田ルイ子のアメリカ (Yoshida Ruiko's America) (Kodansha); Publishes フォト・ジャーナリストとは？撮れなかった一枚の写真 (A Photojournalist? The One Photograph I Could Not Take) (Iwanami shoten),,,
Yoshida Ruiko,1989,Publishes 南ア・アパルトヘイト共和国 (South Africa Apartheid Republic) (Ōtsuki shoten),,,
Yoshida Ruiko,1990,Publishes アパルトヘイトの子どもたち：僕たちは怒っている (The Children of Apartheid: We Are Angry) (Poplar),,,
Yoshida Ruiko,1995,Publishes 南アフリカ新しい風 MASAKANE (New Winds in South Africa) (Ōtsuki shoten),,,
Yoshida Ruiko,1996,Publishes 少女マギー：南アフリカ・アパルトヘイトをのりこえて (The Young Girl Maggie: Overcoming Apartheid in South Africa) (Poplar),,,
Yoshida Ruiko,1999,Publishes 子どもは見ている / The Family of Child (Kodansha) with paintings by Iwasaki Chihiro,,,
Yoshida Ruiko,2001,Wins a special award from the Japan Journalism Association (JCJ); Publishes 華麗な女たち (Chinese Women) (Chuo koronsha),,,
Yoshida Ruiko,2003,Wins the 19th Higashikawa International Photo Festival Award,,,
Ushioda Tokuko,1963,"Graduates from Kuwasawa Design School, where she studied under Ōtsuji Kiyoji and Ishimoto Yasuhiro",,,
Ushioda Tokuko,1966,Begins teaching at Kuwasawa Design School and later Tokyo Zōkei University,,,
Ushioda Tokuko,1975,"Begins working as a freelance photographer, primarily for magazines",,,
Ushioda Tokuko,1976,Holds her first solo exhibition 微笑みの⼿錠 (Handcuffed Smile) at Shijuku Nikon Gallery,,,
Ushioda Tokuko,1978,"Retires from teaching; Marries fellow photographer Shinzō Shimao and gives birth to a daugher, after which she makes photographs within her new domestic space",,,
Ushioda Tokuko,1986,Self-publishes the photobook Chinese People,,,
Ushioda Tokuko,1989,Holds a solo exhibition 生活 (Life) at Film Round Gallery in Tokyo,,,
Ushioda Tokuko,1992,Holds first exhibition of her series 冷蔵庫 (Icebox) at the Tokyo Design Center,,,
Ushioda Tokuko,1994,Holds first exhibition of her series HATS at Gallery MOLE in Tokyo,,,
Ushioda Tokuko,1996,"Publishes the photobook 冷蔵庫 (Icebox) (BeeBooks) with an essay written by Ushioda titled, ""Is Mom a Refrigerator?""",,,
Ushioda Tokuko,2002,Holds solo exhibition 聖歌 (Sacred Dance) at Contemprary Photo Gallery in Tokyo,,,
Ushioda Tokuko,2003,"Holds three solo exhibitions of the series 本の景色 / BIBLIOTHECA at Waseda University Library, Contemporary Photo Gallery, and the 5th Library Fair at Tokyo International Forum",,,
Ushioda Tokuko,2004,Publishes the photobook HATS (Parol),,,
Ushioda Tokuko,2016,Publishes the photobook みすず書房旧社屋 (Misuzu) (Genki shobō),,,
Ushioda Tokuko,2017,Publishes the photobooks 本の景色 / BIBLIOTHECA (Genki shobō) and 先生のアトリエ (My Teacher's Atelier) (Genki shobō),,,
Ushioda Tokuko,2018,"Wins the Domon Ken Award, the Photographic Society of Japan's Lifetime Achievement Award, and the 34th Higashikawa Domestic Photography Award for 本の景色 / BIBLIOTHECA",,,
Ushioda Tokuko,2019,Receives the Kuwasawa Special Award,,,
Ushioda Tokuko,2022,"Publishes the photobook マイハスバンド (My Husband) (torch press), photographs taken from 1978 to 1983 that feature Ushioda and Shinzō's domestic and social lives within the photo world",,,
Watanabe Hitomi,1968,Graduates from Meiji University and the Tokyo College of Photography; Exhibits 香具師の世界 (World of Street Hawkers) as her graduating thesis; Begins contributing photographs to the pictorials Asahi Graph and Shashin Eizō; Self-publishes the photobook 新宿オンテンポラリー (Shinjuku Contemporary) depicting the epicenter of the Japanese counterculture and antiwar movement in Shinjuku,,,
Watanabe Hitomi,1969,"The only female photographer behind the barricades at Tokyo University, Watanabe documents the Zenkyōtō (All-Campus Joint Struggle Committee) Protests and publishes them in われわれにとって東大闘争とは何か (Tōdai Zenkyōtō: What the Tokyo University Conflict Is for Us)",,,
Watanabe Hitomi,1972,Begins traveling to other countries in Asia and devotes herself to spiritual photographic projects,,,
Watanabe Hitomi,1983,Publishes the photobook 天竺 (Tenjiku) (Yasosha) with images from India and Nepal,,,
Watanabe Hitomi,1986,Publishes the photobook モヒタの夢の旅 (Mohita's Dream Journey) (Kaiseisha),,,
Watanabe Hitomi,1994,Publishes the photobook 猿年紀 (The Era of Monkey) (Shinchōsha),,,
Watanabe Hitomi,1997,Publishes the photobook 西方神話 (Myths of the West) (Chuokoronsha),,,
Watanabe Hitomi,2001,"Publishes the photobook ひらいて、Lotus (Open, Lotus) (Shuppanshinsha)",,,
Watanabe Hitomi,2003,Publishes the photobook てつがくのさる (The Monkey Philosopher) (Shuppanshinsha),,,
Watanabe Hitomi,2007,"Publishes the first of two books about the Zenkyōtō protests, 東大全共闘 1968-1969 (Tōdai Zenkyōtō 1968-1969) (Shinchōsha)",,,
Watanabe Hitomi,2014,Publishes the photobook 1968新宿 (1968 Shinjuku) (Machikarasha),,,
Watanabe Hitomi,2015,"Publishes the second of two books about the Zenkyōtō protests, <i>Tokyo University 1968-1969: Behind the Blockade </i>(Zen Foto Gallery)",,,
Watanabe Hitomi,2017,Publishes the photobook TEKIYA 香具師 (Tekiya) (Jiyusha),,,
Sugiura Kunie,1949,"Moves to Tokyo with her widowed mother, who manages the PX at the U.S. military base in Tachikawa",,,
Sugiura Kunie,1960,Enters the physics department at Ochanomizu University,,,
Sugiura Kunie,1963,Travels to the U.S. to begin studying photography at the School of the Art Institute of Chicago under the conceptual photographer Kenneth Josephson,,,
Sugiura Kunie,1967,"Graduates from the School of the Art Institute of Chicago and moves to New York City, where she works as a photographer's assistant, designs record jackets for Columbia Records, and meets other Japanese artists working there",,,
Sugiura Kunie,1968,"Marries Jerry Dorman, an assistant professor at the Polytechnic Institute of Brooklyn; Work from her Cko series of color montages is published in the magazines U.S. Camera and Modern Photography",,,
Sugiura Kunie,1969,Holds first solo exhibition of work from the Cko series at Portogallo Gallery in New York; Receives her U.S. Permanent Resident Card,,,
Sugiura Kunie,1970,The critic Dick Bellamy signs on as Sugiura's agent,,,
Sugiura Kunie,1972,"Holds multiple exhibitions of her Photocanvas series, including in the Whitney Museum's Annual Exhibition of Painting",,,
Sugiura Kunie,1975,"Separates from her spouse and moves to a new studio in New York's SoHo neighborhood, the center of new art trends at the time",,,
Sugiura Kunie,1978,Holds her first solo exhibition in Japan of her Photo-Painting series at the Ginza Kaiga Kan in Tokyo,,,
Sugiura Kunie,1979,"Holds her first of many exhibitions at the Zeit Foto Salon, a gallery specializing in photography in Tokyo",,,
Sugiura Kunie,1980,Beings to create photograms,,,
Sugiura Kunie,1985,"Participates in the Tsukuba Museum of Photography's exhibition Paris, New York, Tokyo",,,
Sugiura Kunie,1986,"Begins writing the ""New York Report"" for the Japanese art magazine Bijutsu Techo, which she continues until 2008; Holds the first of many exhibitions at the Leslie Tonkonow Artiworks + Project Gallery",,,
Sugiura Kunie,1990,"Sugiura's work is included alongside that of Ishiuchi Miyako in the group exhibition, 女性のまなざしー日本とドイツの女性写真家達 (Women Photographers' Perspectives in Germany and Japan), held at the Kawasaki City Museum",,,
Sugiura Kunie,1993,The experience of being x-rayed inspires new work with x-rays that she exhibits for the first time at Wesleyan University and in the first of many shows at Kamakura Gallery in Tokyo,,,
Sugiura Kunie,1994,"Participates in numerous group exhibitions, including Experimental Vision at the Denver Art Museum, which traced the history of the photogram; Marries the sculptor John Duff (whom she later divorces in 1997)",,,
Sugiura Kunie,1995,"Participates in numerous group exhibitions, including 現代写真の動向 ANOTHER REALITY (Aspects of Contemporary Photography: Another Reality) at the Kawasaki City Museum",,,
Sugiura Kunie,1996,"Participates in numerous group exhibitions, including Japanese Photography: Contemporary Landscape 1980-1995 at the Tokyo Metropolitan Museum of Photography (now the Tokyo Photographic Art Museum)",,,
Sugiura Kunie,1997,"Sugiura's work is included in New Photography 13, the acclaimed annual exhibition at the Museum of Modern Art, New York",,,
Sugiura Kunie,1998,Holds the first of numerous exhibitions at Judy Ann Goldman Fine Art in Boston,,,
Sugiura Kunie,1999,Participates in numerous international group exhibitions; Begins to include human beings as her subjects for photograms,,,
Sugiura Kunie,2002,Sugiura's photogram of Shinohara Ushio boxing is featured on the cover of Art in America,,,
Sugiura Kunie,2003,The Joy of Giving Something Foundation commissions a work from Sugiura to commemorate the fiftieth anniversary of the discovery of the DNA structure and she begins work focused on famous scientists,,,
Sugiura Kunie,2004,The group exhibition Out of the Ordinary/Extraordinary: Japanese Contemporary Photography travels and introduces Sugiura's work around the world,,,
Sugiura Kunie,2007,"Wins the 23rd Higashikawa Domestic Photographer Award; Participates in several group exhibitions, including Making a Home: Japanese Contemporary Artists in New York at the Japan Society Gallery in New York",,,
Sugiura Kunie,2008,"A retrospective exhibition, Time Emit, is held at the Visual Arts Center of New Jersey",,,
Sugiura Kunie,2014,Holds the first of numerous solo exhibitions at Taka Ishii Gallery in Tokyo,,,
Sugiura Kunie,2015,"Sugiura's work is included in the traveling exhibition For a New World to Come: Experiments in Art and Photography, Japan, 1968-1979",,,
Sugiura Kunie,2018,"A retrospective exhibition, 杉浦邦恵：うつくしい実験 / ニューヨークとの50年 (Sugiura Kunie: Aspiring Experiments / New York in 50 Years), is held at the Tokyo Photographic Art Museum",,,
Ōishi Yoshino,1966,Visits Vietnam and Cambodia for the first time,,,
Ōishi Yoshino,1978,Publishes 愛しのニューギニア (Dear New Guinea) (Gakushū kenkyūsha),,,
Ōishi Yoshino,1979,Publishes 花黙し: 大石芳野写真集 (Flowers Silent) (Bronze),,,
Ōishi Yoshino,1980,"Publishes 女の国になったカンボジア (Cambodia, Land of Women) (Ushio shuppan)",,,
Ōishi Yoshino,1981,Publishes パプア人: いま石器時代に生きる (Papuan People: Living in the Stone Age Now) (Heibonsha); Publishes 無告の民: カンボジアの証言 (A Helpless People: The Testimony of Cambodia) (Iwanami shoten),,,
Ōishi Yoshino,1982,Wins the Photographic Society of Japan's Annual Award for her photobook 無告の民 (Helpless Citizens),,,
Ōishi Yoshino,1983,"Publishes 少年パパニー (Boy ""Papany"") (Yayoi shobō); Publishes ワニの民: メラネシア芸術の人びと (Crocodile People: The People of Melanesian Art) (Tōjusha)",,,
Ōishi Yoshino,1984,"Publishes ベトナムは、いま (Vietnam, Now) (Kodansha); Publishes 隠岐の国 (Land of Oki) (Kumon shuppan); Publishes 証言する民: 十年後のベトナム戦争 (The People Testify: The Vietnam War, Ten Years Later) (Kodansha)",,,
Ōishi Yoshino,1985,"Publishes ベトナムは、いま: 十年後のベトナム戦争 (Vietnam, Now: 10 Years After the Vietnam War) (Kodansha)",,,
Ōishi Yoshino,1986,Publishes 沖縄に活きる (Living in Okinawa) (Yōbisha),,,
Ōishi Yoshino,1988,"Publishes 沖縄の原像: 内と外との相克 (Statues of Okinawa: Battle between Inside and Out) (Niraisha); Publishes 闘った人びと: ベトナム戦争を過ぎて (People Who Battled: Through the Vietnam War) (Kodansha); Publishes 『夜と霧』をこえて: ポーランド・強制収容所の生還者たち (Beyond ""Night and Fog"") (NHK); Publishes 夜と霧は今 (Night and Fog, Now) (Yōbisha)",,,
Ōishi Yoshino,1991,Publishes 悲しみのソビエト: 民族をあるく (Soviets of Grief) (Kodansha),,,
Ōishi Yoshino,1992,"Publishes あの日、ベトナムに枯葉剤がふった: 戦争の傷あとを見つめつづけた真実の記録 (That Day, Agent Orange Fell on Vietnam) (Kumon shuppan)",,,
Ōishi Yoshino,1993,Publishes カメラを肩に見た世界 (The World Seen through the Camera on Your Shoulder) (Rōdō junpōsha); Publishes カンボジア苦界転生: 大石芳野フォト・ドキュメント (Reincarnation in Cambodia) (Kodansha),,,
Ōishi Yoshino,1994,Receives the Newcomer Award for Art from the Bunckchō,,,
Ōishi Yoshino,1995,"Publishes Hiroshima半世紀の肖像: やすらぎを求める日々 (Hiroshima, a Half-Century Portrait) (Kadokawa shoten)",,,
Ōishi Yoshino,1997,"Publishes 沖縄若夏の記憶 (Memories of Wakanatsu, Okinawa) (Iwanami shoten); Publishes 活気あふれて長い戦争のあと: ベトナム (アジアの子どもたち) (After a Vigorous Long War: Vietnam) (Sōdo shuppan); Publishes 小さな草に (On a Small Grass) (Asahi Shinbunsha)",,,
Ōishi Yoshino,1998,Publishes 生命の木 : アジアの人びとと自然 (Tree of Life: People and Nature of Asia) (Sōdo shuppan),,,
Ōishi Yoshino,2000,Publishes ベトナム凛と: 大石芳野写真集 (In the Frigidness of Vietnam) (Kodansha),,,
Ōishi Yoshino,2001,Wins the Domon Ken Award for the photobook ベトナム凛と (In the Frigidness of Vietnam),,,
Ōishi Yoshino,2002,Publishes コソボ破壊の果てに: 大石芳野写真集 (At the End of the Destruction of Kosovo) (Kodansha),,,
Ōishi Yoshino,2003,Publishes アフガニスタン戦禍を生きぬく: 大石芳野写真集 (Surviving the Horrors of Afghanistan) (Fujiwara shoten),,,
Ōishi Yoshino,2004,Becomes a committee member of the Committee of Seven to Appeal for World Peace; Publishes コソボ絶望の淵から明日へ (Kosovo from the Depths of Despair to Tomorrow) (Iwanami shoten),,,
Ōishi Yoshino,2005,"Publishes 声・映像・ジャーナリズム: メディアの中の戦争と文学 (Voice, Film, Journalism: War and Literature in the Media) (Ferris University); Publishes 子ども戦世のなかで: 大石芳野写真集 (Children in a World of War) (Fujiwara shoten)",,,
Ōishi Yoshino,2007,Recieves the Purple Ribbon Medal of Honor; Publishes 魂との出会い: 写真家と社会学者の対話 (Encounters with the Soul: A Dialogue between Photographers and Sociologists) (Fujiwara shoten),,,
Ōishi Yoshino,2008,Recieves the Nihon University Award; Publishes ＜不発弾＞と生きる: 祈りを織るラオス (Living with Unexploded Bombs: Laos Weaving Prayers) (Fujiwara shoten),,,
Ishiuchi Miyako,1953,"Ishiuchi's family moves from Gunma Prefecture to the Oppamahon-chō neighborhood in Yokosuka, a city in Kanagawa Prefecture known for its U.S. Naval Base",,,
Ishiuchi Miyako,1964,Becomes interested in design upon seeing Kamekura Yūsaku's design for the 1964 Tokyo Olympics posters,,,
Ishiuchi Miyako,1966,Enters Tama Art University (Tamabi) to study design,,,
Ishiuchi Miyako,1967,Transfers to the textiles department at Tamabi,,,
Ishiuchi Miyako,1969,"Participates in student protests with the Bijutsu Kyōtō Kaigi (Artists Joint Struggle Council, also known as Bikyōtō); Establishes the Kakumei-teki Shokunin Dō-mei (Revolutionary Craftsmen's Association)",,,
Ishiuchi Miyako,1970,"Forms a uman ribu (women's liberation) group, the Shisō Shūdan Esuiekusu (Thought Group S E X) with Mori Setsuko and Yonezu Tomoko and later quits; Drops out of Tamabi; Moves to Tokyo and begins working part-time jobs",,,
Ishiuchi Miyako,1975,"Receives a camera and darkroom equipment from her boyfriend Fujisaki Kōichi; Begins using a Pentax SV camera with a 28mm lens; Sets up a darkroom at her parents' home in Kanazawa Hakkei and photographs in the region; Participates in the group exhibition Shashin Kōka 3 (Photographic Effect 3) at Gallery Shimizu in Tokyo, where Araki Nobuyoshi and Tōmatsu Shōmei praise her work, encouraging her to continue pursuing photography; Adopts her mother's maiden name, Ishiuchi Miyako, as her professional name (she was born Fujikura Yōko)",,,
Ishiuchi Miyako,1976,"Buys a Nikon F2 camera and a 200mm lens; Decides to start photographing Yokosuka after she visits the Tōhoku region and is uninspired; Organizes and participates in the exhibition Hyakkaryōan (Riot of Flowers) at Gallery Shimizu in Tokyo, featuring the work of ten women photographers",,,
Ishiuchi Miyako,1977,"Araki Nobuyoshi introduces Ishiuchi to Miki Jun, photographer and director of the Nikon Salon, where she exhibits work from Yokosuka Story; Participates in the group exhibition Photography Today '77 at the Kanagawa Kenmin Gallery in Yokohama",,,
